year,escapement
1980,19425
1981,16939
1982,142541
1983,3932
1984,46817
1985,45190
1986,81869
1987,42853
1988,119791
1989,13904
1990,110567
1991,22000
1992,95940
1993,16673
1994,121775
1995,38666
1996,74474
1997,14392
1998,120875
1999,36142
2000,22321
2001,72980
2002,209478
2003,17629
2004,149700
2005,34000
2006,104483
2007,19450
2008,21835
2009,26395
2010,39535
2011,15280
2012,36408
2013,8545
2014,62745
2015,7964
2016,33709
2017,6092
2018,17000
