year,catch
1980,93607.19137
1981,61010
1982,132023
1983,28070
1984,4877.605361
1985,69821
1986,238716
1987,17876
1988,44909.05157
1989,11953.50968
1990,166158
1991,64429
1992,88558
1993,31540
1994,173419
1995,30975
1996,46221
1997,3177
1998,27557
1999,13241
2000,19480
2001,25263
2002,200424
2003,19221
2004,22454
2005,19686
2006,110130
2007,21913
2008,8061
2009,2694
2010,6438
2011,918
2012,5016
2013,1416
2014,2801
2015,1758
2016,2188
2017,359
2018,817.6570166
